Alk,SO4,Na,Mg,Ca,Si
329,13.6997808,153.00612,84.73608,118.2156,325.9776
329,12.8997936,152.206088,83.15592,120.7096,328.9728
328,12.2998032,160.406416,82.26708,116.7192,286.34112
330,11.499816,160.0064,85.62492,114.724,336.96
322,12.8997936,152.606104,85.62492,116.2204,331.66848
165,60.3990336,98.303932,64.194,74.82,213.85728
167,60.3990336,98.303932,60.93492,74.82,171.7248
167,60.3990336,99.103964,64.98408,76.8152,217.35168
176,54.1991328,110.0044,65.87292,77.8128,239.41632
240,19.7996832,125.705028,60.04608,77.314,301.21728
197,35.7994272,117.804712,58.46592,73.8224,272.86272
261,15.999744,134.805392,71.601,107.242,314.496
271,17.6997168,134.305372,69.92208,140.6616,306.20928
216,25.3995936,128.305132,64.98408,89.2852,279.552
178,36.499416,113.00452,58.46592,80.3068,244.608
198,29.3995296,121.704868,64.194,89.784,261.28128
182,33.6994608,115.204608,59.256,80.3068,249.6
178,36.499416,102.204088,56.787,77.314,249.6
210,25.5995904,121.704868,66.663,84.796,259.584
220,24.1996128,113.904556,54.318,75.3188,279.552
215,25.3995936,111.304452,58.46592,80.3068,274.56
180,37.2994032,102.204088,53.52792,70.3308,246.30528
163,40.7993472,100.404016,58.46592,75.8176,224.64
155,48.2992272,94.803792,62.51508,79.808,199.68
98,68.2989072,72.602904,52.63908,74.82,146.46528
84,72.0988464,65.202608,49.38,85.7936,134.784
106,68.498904,75.703028,51.05892,75.3188,159.744
138,54.5991264,93.00372,55.10808,80.8056,199.68
183,33.0994704,121.304852,59.256,94.2732,236.32128
237,18.499704,117.404696,66.663,100.7576,289.536
231,19.99968,125.705028,65.87292,92.7768,296.22528
240,19.99968,124.804992,64.98408,93.2756,294.528
259,17.6997168,131.705268,70.81092,105.7456,304.512
242,17.49972,130.405216,70.81092,106.2444,306.20928
51,79.1987328,78.303132,48.58992,57.362,133.08672
44,81.1987008,73.902956,46.911,54.868,128.09472
43,81.1987008,73.902956,47.70108,60.8536,123.10272
57,83.2986672,73.902956,48.58992,59.3572,123.10272
64,87.4986,73.902956,46.911,58.8584,123.10272
49,77.0987664,78.303132,46.12092,54.3692,123.10272
44,87.4986,78.303132,46.12092,54.3692,123.10272
32,87.4986,78.303132,45.23208,53.3716,118.11072
26.2,87.4986,60.902436,42.76308,51.3764,103.13472
33,83.2986672,60.902436,43.65192,52.8728,101.53728
32,81.1987008,65.202608,43.65192,52.374,103.13472
37,83.2986672,73.902956,42.76308,74.3212,103.13472
68,77.0987664,67.402696,37.82508,68.8344,141.47328
58,70.7988672,73.902956,46.911,77.314,161.44128
98,62.499,78.303132,49.38,72.326,179.712
113,60.7990272,82.603304,51.05892,55.3668,189.696
119,57.2990832,69.602784,50.17008,58.3596,196.38528
129,54.3991296,73.902956,50.17008,57.8608,206.36928
131,55.5991104,84.803392,52.63908,57.362,211.36128
137,48.6992208,82.603304,51.849,55.3668,217.95072
138,48.0992304,84.803392,51.05892,52.374,217.95072
135,47.0992464,69.602784,51.05892,51.3764,221.34528
134,46.8992496,87.00348,51.05892,48.8824,217.95072
139,46.2992592,78.303132,51.05892,47.8848,186.40128
147,45.1992768,78.303132,49.38,78.3116,221.34528
154,42.49932,73.902956,50.203,78.3116,226.33728
152,41.2993392,84.803392,51.849,82.302,232.92672
162.2,39.7993632,69.602784,49.38,80.8056,231.32928
170,42.2993232,80.403216,49.38,79.3092,226.33728
37,83.0986704,46.101844,40.29408,68.3356,103.13472
43,79.3987296,50.002,41.973,70.3308,113.11872
53,73.6988208,57.402296,42.76308,69.3332,123.10272
55,77.49876,52.202088,42.76308,65.3428,126.49728
137,42.0993264,100.004,47.70108,77.8128,211.36128
199,31.8994896,113.00452,55.10808,87.29,239.616
224,24.3996096,121.704868,60.93492,90.2828,272.86272
223,29.1995328,130.405216,63.40392,96.2684,274.56
241,28.0995504,156.50626,66.663,110.7336,301.21728
257,2.2999632,138.305532,72.39108,88.7864,322.78272
275,1.6999728,138.305532,74.86008,98.2636,347.74272
253,3.2999472,126.50506,69.132,89.784,319.488
220,6.1999008,114.304572,61.725,78.3116,289.536
156,12.8997936,95.203808,46.911,62.35,246.30528
138,19.5996864,110.0044,39.504,46.3884,199.68
143,33.499464,77.803112,48.58992,62.8488,214.656
71,77.6987568,58.702348,74.86008,114.724,176.41728
87,61.6990128,59.602384,46.12092,60.3548,141.47328
101,58.6990608,70.0028,47.70108,57.8608,161.44128
71,74.1988128,53.902156,47.70108,64.844,128.09472
44,85.5986304,46.101844,45.23208,64.3452,114.816
96,76.498776,47.801912,44.442,117.7168,93.15072
68,72.2988432,53.902156,44.442,63.8464,119.808
82,68.6989008,59.602384,46.12092,63.8464,133.08672
102,62.499,67.402696,48.58992,67.338,156.44928
262,20.999664,123.904956,66.663,93.7744,309.504
258,19.5996864,124.304972,68.34192,91.7792,314.496
302,12.8997936,133.50534,79.008,105.2468,336.16128
282,13.2997872,132.205288,76.539,94.2732,331.16928
301,10.5998304,135.705428,78.21792,99.2612,344.448
313,12.6997968,148.305932,81.477,148.6424,346.14528
304,10.999824,159.106364,81.477,111.2324,361.12128
311,10.5998304,159.606384,79.79808,112.23,354.432
319.5,9.7998432,197.807912,88.884,154.628,386.08128
330,9.3998496,154.306172,88.884,152.134,376.09728
337,10.3998336,152.206088,94.61208,151.1364,397.66272
338,9.1998528,160.906436,92.14308,164.604,392.67072
292,12.0998064,156.50626,90.56292,152.6328,387.67872
283,23.0996304,147.805912,97.96992,162.11,382.68672
220,49.5992064,170.406816,94.61208,164.604,337.75872
165,79.3987296,153.906156,97.08108,162.11,302.81472
135,100.198397,144.305772,97.08108,149.64,274.56
103,113.798179,138.705548,75.716,132.182,244.608
128,112.698197,157.806312,91.353,152.134,259.584
157,107.898274,150.006,93.03192,153.6304,296.22528
222.2,102.098366,208.708348,89.67408,158.6184,356.12928
315,22.0996464,204.308172,90.56292,161.6112,396.06528
293,45.5992704,195.707828,87.20508,167.098,374.4
38,138.497784,73.902956,49.38,99.76,199.68
55,140.59775,83.50334,51.05892,105.7456,154.752
319,12.2998032,166.106644,80.68692,134.1772,412.63872
353,9.7998432,166.106644,84.73608,131.1844,407.64672
313,9.99984,163.50654,83.946,118.2156,414.336
341,8.999856,179.607184,82.26708,131.1844,407.64672
326,10.1998368,179.107164,91.353,120.7096,417.63072
327,11.2998192,178.307132,89.67408,121.2084,346.14528
322,13.0997904,134.805392,84.73608,132.182,382.68672
302,21.6996528,170.0068,79.79808,125.6976,409.344
307,23.6996208,170.0068,81.477,134.1772,399.36
295,22.49964,168.706748,78.21792,135.1748,397.66272
276,29.7995232,160.406416,76.539,130.1868,366.11328
261,30.999504,152.606104,74.07,123.2036,346.14528
225,33.6994608,136.50546,65.87292,110.7336,311.20128
159,53.999136,160.406416,55.10808,92.7768,251.29728
170,74.9988,137.00548,64.194,100.7576,286.24128
182,88.498584,152.606104,69.132,109.2372,316.19328
204,79.1987328,168.706748,72.39108,110.7336,356.12928
258,48.499224,167.406696,73.27992,116.7192,392.67072
284,34.7994432,169.106764,77.32908,121.7072,379.392
326,13.6997808,168.306732,83.15592,135.1748,399.36
325,12.6997968,173.00692,90.56292,138.1676,387.67872
324,10.7998272,141.305652,74.86008,97.7648,392.67072
330,14.3997696,114.304572,74.893,130.1868,384.384
310,10.5998304,148.305932,72.39108,108.7384,387.67872
314,12.4998,147.805912,74.86008,89.2852,384.384
318,12.6997968,161.306452,70.81092,114.2252,392.67072
306,17.6997168,150.006,75.74892,115.2228,384.384
312,10.3998336,149.105964,74.86008,110.2348,384.384
326,10.7998272,143.00572,74.07,110.2348,387.67872
342,10.999824,143.905756,69.132,116.2204,382.68672
334,10.999824,195.707828,98.76,157.122,402.65472
346,9.99984,215.708628,106.95708,162.11,392.67072
319,11.2998192,177.407096,88.884,136.1724,377.69472
